year_index,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
census_division_and_state,,,,,,,,,,,region_name,census_division_and_state,region_name,census_division_and_state,census_division_and_state,census_division_and_state,census_division_and_state,census_division_and_state,census_division_and_state,census_division_and_state
coal_january,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_jan,coal_january,coal_jan,coal_january,coal_january,coal_january,coal_january,coal_january,coal_january,coal_january
coal_february,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_feb,coal_february,coal_feb,coal_february,coal_february,coal_february,coal_february,coal_february,coal_february,coal_february
coal_march,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_mar,coal_march,coal_mar,coal_march,coal_march,coal_march,coal_march,coal_march,coal_march,coal_march
coal_april,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_apr,coal_april,coal_apr,coal_april,coal_april,coal_april,coal_april,coal_april,coal_april,coal_april
coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may,coal_may
coal_june,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_jun,coal_june,coal_jun,coal_june,coal_june,coal_june,coal_june,coal_june,coal_june,coal_june
coal_july,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_jul,coal_july,coal_jul,coal_july,coal_july,coal_july,coal_july,coal_july,coal_july,coal_july
coal_august,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_aug,coal_august,coal_aug,coal_august,coal_august,coal_august,coal_august,coal_august,coal_august,coal_august
coal_september,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_sep,coal_september,coal_sep,coal_september,coal_september,coal_september,coal_september,coal_september,coal_september,coal_september
coal_october,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_oct,coal_october,coal_oct,coal_october,coal_october,coal_october,coal_october,coal_october,coal_october,coal_october
coal_november,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_nov,coal_november,coal_nov,coal_november,coal_november,coal_november,coal_november,coal_november,coal_november,coal_november
coal_december,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_dec,coal_december,coal_dec,coal_december,coal_december,coal_december,coal_december,coal_december,coal_december,coal_december
oil_january,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_jan,oil_january,oil_jan,oil_january,oil_january,oil_january,oil_january,oil_january,oil_january,oil_january
oil_february,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_feb,oil_february,oil_feb,oil_february,oil_february,oil_february,oil_february,oil_february,oil_february,oil_february
oil_march,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_mar,oil_march,oil_mar,oil_march,oil_march,oil_march,oil_march,oil_march,oil_march,oil_march
oil_april,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_apr,oil_april,oil_apr,oil_april,oil_april,oil_april,oil_april,oil_april,oil_april,oil_april
oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may,oil_may
oil_june,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_jun,oil_june,oil_jun,oil_june,oil_june,oil_june,oil_june,oil_june,oil_june,oil_june
oil_july,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_jul,oil_july,oil_jul,oil_july,oil_july,oil_july,oil_july,oil_july,oil_july,oil_july
oil_august,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_aug,oil_august,oil_aug,oil_august,oil_august,oil_august,oil_august,oil_august,oil_august,oil_august
oil_september,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_sep,oil_september,oil_sep,oil_september,oil_september,oil_september,oil_september,oil_september,oil_september,oil_september
oil_october,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_oct,oil_october,oil_oct,oil_october,oil_october,oil_october,oil_october,oil_october,oil_october,oil_october
oil_november,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_nov,oil_november,oil_nov,oil_november,oil_november,oil_november,oil_november,oil_november,oil_november,oil_november
oil_december,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_dec,oil_december,oil_dec,oil_december,oil_december,oil_december,oil_december,oil_december,oil_december,oil_december
petcoke_january,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_jan,petcoke_january,petcoke_jan,petcoke_january,petcoke_january,petcoke_january,petcoke_january,petcoke_january,petcoke_january,petcoke_january
petcoke_february,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_feb,petcoke_february,petcoke_feb,petcoke_february,petcoke_february,petcoke_february,petcoke_february,petcoke_february,petcoke_february,petcoke_february
petcoke_march,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_mar,petcoke_march,petcoke_mar,petcoke_march,petcoke_march,petcoke_march,petcoke_march,petcoke_march,petcoke_march,petcoke_march
petcoke_april,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_apr,petcoke_april,petcoke_apr,petcoke_april,petcoke_april,petcoke_april,petcoke_april,petcoke_april,petcoke_april,petcoke_april
petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may,petcoke_may
petcoke_june,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_jun,petcoke_june,petcoke_jun,petcoke_june,petcoke_june,petcoke_june,petcoke_june,petcoke_june,petcoke_june,petcoke_june
petcoke_july,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_jul,petcoke_july,petcoke_jul,petcoke_july,petcoke_july,petcoke_july,petcoke_july,petcoke_july,petcoke_july,petcoke_july
petcoke_august,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_aug,petcoke_august,petcoke_aug,petcoke_august,petcoke_august,petcoke_august,petcoke_august,petcoke_august,petcoke_august,petcoke_august
petcoke_september,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_sep,petcoke_september,petcoke_sep,petcoke_september,petcoke_september,petcoke_september,petcoke_september,petcoke_september,petcoke_september,petcoke_september
petcoke_october,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_oct,petcoke_october,petcoke_oct,petcoke_october,petcoke_october,petcoke_october,petcoke_october,petcoke_october,petcoke_october,petcoke_october
petcoke_november,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_nov,petcoke_november,petcoke_nov,petcoke_november,petcoke_november,petcoke_november,petcoke_november,petcoke_november,petcoke_november,petcoke_november
petcoke_december,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_dec,petcoke_december,petcoke_dec,petcoke_december,petcoke_december,petcoke_december,petcoke_december,petcoke_december,petcoke_december,petcoke_december
